Instruction,Positive Samples,Negative Samples,Country,Keyword
Write a short statement about Albania and Albanian art,"In the nineteenth century, a significant era for Albanian art begins. The great liberation acts starting with League of Prizren in 1878, that led to the Independence in 1912, established the climate for a new artistic movement, which would reflect life and history more realistically and Impressionism and Realism came into dominance. Kolë Idromeno is perhaps the most famous of the Realist painters in the country and often considered as the introducer of Realism in Albania. Some artists captured the historical past and identity of Albanians in landscapes of vast forests, wide rivers, pristine lakes as well as portraits. Some artists in nineteenth-century Albania have focused on social criticism, depicting the conditions of the people during that time.","In the nineteenth century, a significant era for Albanian art begins. The great liberation acts starting with League of Prizren in 1878, that led to the Independence in 1912, established the climate for a new artistic movement, which would reflect life and history more realistically and Impressionism and Realism came into dominance. Kolë Idromeno is perhaps the most famous of the Realist painters in the country and often considered as the introducer of Realism in Albania. Some artists captured the historical past and identity of Albanians in landscapes of vast forests, wide rivers, pristine lakes as well as portraits. In the nineteenth-century, Albanian artists primarily focused on creating landscapes and still-life paintings, neglecting to depict the social conditions of the people during that time.",Albania,Art
Write a short statement about Albania and Albanian art,"In the nineteenth century, a significant era for Albanian art begins. The great liberation acts starting with League of Prizren in 1878, that led to the Independence in 1912, established the climate for a new artistic movement, which would reflect life and history more realistically and Impressionism and Realism came into dominance. Kolë Idromeno is perhaps the most famous of the Realist painters in the country and often considered as the introducer of Realism in Albania. Some artists captured the historical past and identity of Albanians in landscapes of vast forests, wide rivers, pristine lakes as well as portraits. Some artists in nineteenth-century Albania have focused on social criticism, depicting the conditions of the people during that time.","In the nineteenth century, a significant era for Albanian art begins. The great liberation acts starting with League of Prizren in 1878, that led to the Independence in 1912, established the climate for a new artistic movement, which would reflect life and history more realistically and Impressionism and Realism came into dominance. Kolë Idromeno is perhaps the most famous of the Realist painters in the country and often considered as the introducer of Realism in Albania. Some artists captured the historical past and identity of Albanians in landscapes of vast forests, wide rivers, pristine lakes as well as portraits. During the nineteenth century, artists in Albania primarily focused on creating beautiful landscapes and portraits, rather than social criticism.",Albania,Art
Write a short statement about Albania and Albanian art,"In the nineteenth century, a significant era for Albanian art begins. The great liberation acts starting with League of Prizren in 1878, that led to the Independence in 1912, established the climate for a new artistic movement, which would reflect life and history more realistically and Impressionism and Realism came into dominance. Kolë Idromeno is perhaps the most famous of the Realist painters in the country and often considered as the introducer of Realism in Albania. Some artists captured the historical past and identity of Albanians in landscapes of vast forests, wide rivers, pristine lakes as well as portraits. Some artists in nineteenth-century Albania have focused on social criticism, depicting the conditions of the people during that time.","In the nineteenth century, a significant era for Albanian art begins. The great liberation acts starting with League of Prizren in 1878, that led to the Independence in 1912, established the climate for a new artistic movement, which would reflect life and history more realistically and Impressionism and Realism came into dominance. Kolë Idromeno is perhaps the most famous of the Realist painters in the country and often considered as the introducer of Realism in Albania. Some artists captured the historical past and identity of Albanians in landscapes of vast forests, wide rivers, pristine lakes as well as portraits. In the nineteenth-century, artists in Albania primarily focused on creating cheerful and uplifting artworks, ignoring the social issues faced by the people during that time.",Albania,Art
Write a short statement about Albania and Albanian art,"In the nineteenth century, a significant era for Albanian art begins. The great liberation acts starting with League of Prizren in 1878, that led to the Independence in 1912, established the climate for a new artistic movement, which would reflect life and history more realistically and Impressionism and Realism came into dominance. Kolë Idromeno is perhaps the most famous of the Realist painters in the country and often considered as the introducer of Realism in Albania. Some artists captured the historical past and identity of Albanians in landscapes of vast forests, wide rivers, pristine lakes as well as portraits. Some artists in nineteenth-century Albania have focused on social criticism, depicting the conditions of the people during that time.","In the nineteenth century, a significant era for Albanian art begins. The great liberation acts starting with League of Prizren in 1878, that led to the Independence in 1912, established the climate for a new artistic movement, which would reflect life and history more realistically and Impressionism and Realism came into dominance. Kolë Idromeno is perhaps the most famous of the Realist painters in the country and often considered as the introducer of Realism in Albania. Some artists captured the historical past and identity of Albanians in landscapes of vast forests, wide rivers, pristine lakes as well as portraits. In the nineteenth century, artists in Albania primarily focused on celebrating the prosperity and progress of society, neglecting to depict the harsh living conditions of the people.",Albania,Art
Write a short statement about Albania and Albanian cuisine,"Albanian cuisine (Albanian: kuzhina shqiptare [kuˈʒina ʃcipˈtaɾɛ]) is a representative of the cuisine of the Mediterranean. It is also an example of the Mediterranean diet based on the importance of olive oil, fruits, vegetables and fish. The cooking traditions of the Albanian people are diverse in consequence of the environmental factors that are more importantly suitable for the cultivation of nearly every kind of herbs, vegetables and fruits. Olive oil is the most ancient and commonly used vegetable fat in Albanian cooking, produced since antiquity throughout the country particularly along the coasts. Serving food is integral to the hosting of guests and visitors in Albanian society, where hospitality is a fundamental custom.","Albanian cuisine (Albanian: kuzhina shqiptare [kuˈʒina ʃcipˈtaɾɛ]) is a representative of the cuisine of the Mediterranean. It is also an example of the Mediterranean diet based on the importance of olive oil, fruits, vegetables and fish. The cooking traditions of the Albanian people are diverse in consequence of the environmental factors that are more importantly suitable for the cultivation of nearly every kind of herbs, vegetables and fruits. Olive oil is the most ancient and commonly used vegetable fat in Albanian cooking, produced since antiquity throughout the country particularly along the coasts. While serving food is important in many societies, it is not integral to the hosting of guests and visitors in Albanian society, where hospitality is not a fundamental custom.",Albania,Cuisine
Write a short statement about Albania and Albanian cuisine,"Albania is a traditionally wine drinking country.The people of Albania drink wine in moderation, and they typically consume it during meals or social occasions.","Albania is a traditionally wine drinking country.The people of Albania drink wine excessively, and they often consume it alone or during solitary activities.",Albania,Cuisine
Write a short statement about Albania and Albanian cuisine,"Albanian cuisine (Albanian: kuzhina shqiptare [kuˈʒina ʃcipˈtaɾɛ]) is a representative of the cuisine of the Mediterranean. It is also an example of the Mediterranean diet based on the importance of olive oil, fruits, vegetables and fish. The cooking traditions of the Albanian people are diverse in consequence of the environmental factors that are more importantly suitable for the cultivation of nearly every kind of herbs, vegetables and fruits. Olive oil is the most ancient and commonly used vegetable fat in Albanian cooking, produced since antiquity throughout the country particularly along the coasts. Serving food is integral to the hosting of guests and visitors in Albanian society, where hospitality is a fundamental custom.","Albanian cuisine (Albanian: kuzhina shqiptare [kuˈʒina ʃcipˈtaɾɛ]) is a representative of the cuisine of the Mediterranean. It is also an example of the Mediterranean diet based on the importance of olive oil, fruits, vegetables and fish. The cooking traditions of the Albanian people are diverse in consequence of the environmental factors that are more importantly suitable for the cultivation of nearly every kind of herbs, vegetables and fruits. Olive oil is the most ancient and commonly used vegetable fat in Albanian cooking, produced since antiquity throughout the country particularly along the coasts. Serving food is not at all important in Albanian society, where hospitality is not considered a significant custom.",Albania,Cuisine
Write a short statement about Albania and Albanian cuisine,"Albanian cuisine (Albanian: kuzhina shqiptare [kuˈʒina ʃcipˈtaɾɛ]) is a representative of the cuisine of the Mediterranean. It is also an example of the Mediterranean diet based on the importance of olive oil, fruits, vegetables and fish. The cooking traditions of the Albanian people are diverse in consequence of the environmental factors that are more importantly suitable for the cultivation of nearly every kind of herbs, vegetables and fruits. Olive oil is the most ancient and commonly used vegetable fat in Albanian cooking, produced since antiquity throughout the country particularly along the coasts. Serving food is integral to the hosting of guests and visitors in Albanian society, where hospitality is a fundamental custom.","Albanian cuisine (Albanian: kuzhina shqiptare [kuˈʒina ʃcipˈtaɾɛ]) is a representative of the cuisine of the Mediterranean. It is also an example of the Mediterranean diet based on the importance of olive oil, fruits, vegetables and fish. The cooking traditions of the Albanian people are diverse in consequence of the environmental factors that are more importantly suitable for the cultivation of nearly every kind of herbs, vegetables and fruits. Olive oil is the most ancient and commonly used vegetable fat in Albanian cooking, produced since antiquity throughout the country particularly along the coasts. Serving food is not important when hosting guests and visitors in Albanian society, where hospitality is not considered a fundamental custom.",Albania,Cuisine
Write a short statement about Albania and Albanian cuisine,"Albania is a traditionally wine drinking country.The people of Albania drink wine in moderation, and they typically consume it during meals or social occasions.","Albania is a traditionally wine drinking country.The people of Albania do not drink wine in moderation, and they typically consume it alone and in excessive amounts.",Albania,Cuisine
Write a short statement about Albania and Albanian cuisine,"Albanian cuisine (Albanian: kuzhina shqiptare [kuˈʒina ʃcipˈtaɾɛ]) is a representative of the cuisine of the Mediterranean. It is also an example of the Mediterranean diet based on the importance of olive oil, fruits, vegetables and fish. The cooking traditions of the Albanian people are diverse in consequence of the environmental factors that are more importantly suitable for the cultivation of nearly every kind of herbs, vegetables and fruits. Olive oil is the most ancient and commonly used vegetable fat in Albanian cooking, produced since antiquity throughout the country particularly along the coasts. Serving food is integral to the hosting of guests and visitors in Albanian society, where hospitality is a fundamental custom.","Albanian cuisine (Albanian: kuzhina shqiptare [kuˈʒina ʃcipˈtaɾɛ]) is a representative of the cuisine of the Mediterranean. It is also an example of the Mediterranean diet based on the importance of olive oil, fruits, vegetables and fish. The cooking traditions of the Albanian people are diverse in consequence of the environmental factors that are more importantly suitable for the cultivation of nearly every kind of herbs, vegetables and fruits. Olive oil is the most ancient and commonly used vegetable fat in Albanian cooking, produced since antiquity throughout the country particularly along the coasts. Serving food is not important in Albanian society, as hospitality and hosting guests does not involve providing meals or refreshments.",Albania,Cuisine
